word,count
unknown,12
ahead,13
organizer,20
black,496
lunch,9
table,35
today,20
ginger,3
brashner-cunningham,3
daryl,6
speak,46
dcia,2
couple,16
years,111
ago,30
atkinson,2
laughter,183
depends,7
heard,42
nia,2
wilson,3
president,18
remember,33
envelope,2
lunches,1
people,677
tapped,1
leaders,10
conversation,76
read,46
questions,28
audio,2
recorded,4
start,61
talking,168
identify,13
transcriber,2
voice,18
pretty,35
good,113
microphone,3
project,34
guess,83
introduction,1
jina,5
valentine,3
skyping,1
videochat,1
grad,34
students,62
yestercades,1
place,87
chicago,16
lives,64
matter,72
meeting,18
time,184
tackling,1
subject,10
necessarily,34
visual,14
integrated,6
tables,3
exciting,5
forward,9
growth,6
cross,4
pollinating,1
communities,53
area,32
comfortable,7
academia,2
activists,3
feel,176
lot,199
contact,2
awesome,7
cross-pollinating,1
involved,15
cool,26
amazing,25
smart,3
interesting,81
motivated,2
dedicated,2
movement,34
space,43
planning,5
practical,1
archiving,1
conversations,26
moment,38
post-ferguson,2
disciplines,1
real,68
intentionality,1
happened,53
kind,271
brainstorming,1
feeling,13
casual,1
sort,93
reflect,6
piece,15
archived,1
beyu,1
café,1
unc,3
recorders,1
turned,16
guys,45
card,23
free,15
things,240
wild,6
cards,27
thing,297
issues,33
left,15
deck,10
add,10
box,2
day,62
put,93
priority,4
putting,17
group,51
decide,9
important,38
discuss,47
great,47
seconds,5
word,48
answers,5
cover,5
veggie,1
burger,1
choose,18
honest,14
democratic,3
minute,13
erin,3
bree,2
introducing,3
make,155
sense,54
live,74
durham,58
mom,13
artist,87
executive,2
director,12
spirit,3
house,36
local,26
organization,18
cultural,25
arts,21
organizing,2
andré,2
leon,2
gray,5
sign,9
logo,2
run,23
elizabeth,4
havice,2
nice,19
history,103
alright,30
senior,5
pastor,3
pilgrim,1
united,24
church,29
christ,2
social,32
justice,15
section,3
privileged,1
officiate,1
loving,3
eleven,5
weddings,1
equal,7
marriage,4
north,24
carolina,20
varied,1
map,3
mixture,1
pole,2
dancer,1
based,32
raleigh,11
professionally,3
exhibiting,8
showcasing,1
national,14
museum,20
congratulations,3
eh,5
professor,11
geography,1
department,12
interests,4
intersects,1
connect,8
activism,7
happening,51
campus,11
represent,20
community,151
building,17
housed,1
called,43
saunders,2
hall,4
named,6
founder,5
kkk,2
we’ve,38
thought,46
couldn’t,24
comprehend,1
effort,4
change,48
political,27
mobilization,1
chance,4
renewed,2
discussion,23
active,3
thinking,41
inscribing,1
race,27
landscape,4
photographer,2
school,218
studying,3
systemic,5
trauma,4
harm,5
manifests,1
education,65
system,80
working,40
background,32
educator,4
primarily,7
spaces,18
elementary,7
excited,7
pause,46
activist,6
law,19
tools,3
damn,5
work,152
southern,8
coalition,5
lead,7
criminal,10
reform,3
board,23
focusing,3
ending,2
drug,8
war,39
mass,3
incarceration,2
brick,1
incarcerated,7
person,109
spent,4
imprisoned,1
alabama,6
corrections,1
nonviolent,3
crime,8
disrespect,3
study,6
life,32
glad,7
cousin,7
montgomery,1
birmingham,1
knew,33
ensure,3
picking,4
leoneda,2
inge,2
introduced,4
late,7
oldest,2
eldest,2
high,26
airport,4
flight,2
leaving,6
weird,17
leave,8
college,32
visit,2
flying,1
wonderful,13
dropping,2
kid,40
sending,5
graduates,2
introductions,1
fine,24
breathe,4
tackle,3
sustain,1
momentum,2
bunch,5
blanks,2
drugs,18
factor,7
heightened,7
policing,6
non-white,5
poor,31
ding,6
favorites,1
redistricting,1
voting,8
laws,8
nc,1
disenfranchise,1
blacks,11
define,12
purpose,6
stop,38
favorite,3
artists,82
co-opt,2
aspects,5
culture,60
personal,26
gain,5
silence,2
iggy,1
azalea,1
question,162
directed,3
male,22
drivers,3
percent,22
searched,2
white,203
counterparts,3
duram’s,1
thirty,12
population,29
accounts,2
eighty,2
total,9
traffic,3
stops,2
restorative,3
offenders,2
amends,1
offended,9
parties,4
alternative,10
punitive,1
possibilities,10
unarmed,14
mediation,10
i.e,1
watch,10
versus,15
police,76
involvement,4
facilitators,1
making,53
faces,5
differences,4
protests,3
mid,3
century,2
decreased,1
vulnerability,2
violence,17
empowerment,2
ways,44
money,88
relationship,12
trends,3
gentrification,22
prioritize,1
structural,1
individual,13
families,14
implicit,1
unconscious,2
bias,1
priory,1
custom,2
norm,2
cultivate,2
norms,1
understand,78
tense,1
decriminalization,7
minor,33
offenses,20
impact,13
similarities,1
neighborhood,84
michael,5
browns,1
economy,10
dependent,3
prison,9
easy,9
answer,22
overlap,1
love,39
folks,45
priorities,1
criminalization,4
