"uid","name","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
1,"Konstantinoupolis",,,12,"631,3","BA 52 D2"
2,"Thrakike","Thrakike",,12,"631,4a","BA 102 D3"
3,"Europe","Thrakike","Europe",12,"631,4b","BA 102 E3"
4,"Eudoxiopolis","Thrakike","Europe",12,"632,1","BA 52 C2"
5,"Herakleia","Thrakike","Europe",12,"632,2","BA 52 B3"
6,"Arkadioupolis","Thrakike","Europe",12,"632,3","BA 52 A2"
7,"Bizye","Thrakike","Europe",12,"632,4","BA 52 B1"
8,"Panion","Thrakike","Europe",12,"632,5","BA 52 A3"
9,"Ornoi","Thrakike","Europe",12,"632,6","BA 52 A3"
10,"Ganos","Thrakike","Europe",12,"633,1","BA 52 A3"
11,"Kallipolis","Thrakike","Europe",12,"633,2","BA 51 H4"
12,"Merizos","Thrakike","Europe",12,"633,3","TIB Ostthrakien 530"
13,"Siltike","Thrakike","Europe",12,"633,4","TIB Ostthrakien 650; Unloc"
14,"Sausadia","Thrakike","Europe",12,"633,5","TIB Ostthrakien 630"
15,"Aphrodisia","Thrakike","Europe",12,"634,1","BA 51 H3"
16,"Apros","Thrakike","Europe",12,"634,2","BA 52 A3"
17,"Koila","Thrakike","Europe",12,"634,3","BA 51 G4"
18,"Rodope","Thrakike","Rodope",12,"634,4","BA 102 D3"
19,"Ainos","Thrakike","Rodope",12,"634,5","BA 51 G3"
20,"Maximianoupolis","Thrakike","Rodope",12,"634,6","BA 51 E2"
21,"Traianoupolis","Thrakike","Rodope",12,"634,7","BA 51 G3"
22,"Maroneia","Thrakike","Rodope",12,"634,8","BA 51 F3"
23,"Tapeiros","Thrakike","Rodope",12,"634,9","51 D2 Topeiros"
24,"Nikopolis","Thrakike","Rodope",12,"635,1","51 B1 Nicopolis ad Nestum"
25,"Kereopyrgos","Thrakike","Rodope",12,"635,2","BA 51 Unloc"
26,"Thrake","Thrakike","Thrake",12,"635,3","BA 102 E3"
27,"Philippoupolis","Thrakike","Thrake",12,"635,4","BA 22 B6"
28,"Beroe","Thrakike","Thrake",12,"635,5","BA 22 C6"
29,"Diokletianoupolis","Thrakike","Thrake",12,"635,6","BA 22 B6"
30,"Sebastoupolis","Thrakike","Thrake",13,"635,7","BA 22 Unloc"
31,"Diospolis","Thrakike","Thrake",13,"635,8","BA 22 D6"
32,"Haimimontos","Thrakike","Haimimontos",13,"635,9","BA 102 E3"
33,"Adrianoupolis","Thrakike","Haimimontos",13,"635,10","BA 51 H1"
34,"Anchialos","Thrakike","Haimimontos",13,"635,11","BA 22 E6"
35,"Debeltos","Thrakike","Haimimontos",13,"635,12","BA 22 E6; TIB Thrakien 234"
36,"Plotinopolis","Thrakike","Haimimontos",13,"635,13","BA 51 G2"
37,"Tzoida","Thrakike","Haimimontos",13,"635,14","BA 22 Unloc"
38,"Mysia II","Thrakike","Mysia II",13,"636,1","BA 102 E3"
39,"Markianoupolis","Thrakike","Mysia II",13,"636,2","BA 22 E5"
40,"Odessos","Thrakike","Mysia II",13,"636,3","BA 22 E5"
41,"Dorostolos","Thrakike","Mysia II",13,"636,4","BA 22 E4"
42,"Nikopolis","Thrakike","Mysia II",13,"636,5","BA 22 C5"
43,"Nobai","Thrakike","Mysia II",13,"636,6","BA 22 C5"
44,"Appiaria","Thrakike","Mysia II",13,"636,7","BA 22 D5"
45,"Abrittos","Thrakike","Mysia II",13,"636,8","BA 22 D5"
46,"Skythia","Thrakike","Skythia",13,"636,9","BA 102 E3"
47,"Tomis","Thrakike","Skythia",13,"637,1","BA 22 F4"
48,"Dionysopolis","Thrakike","Skythia",13,"637,2","BA 22 F5"
49,"Akrai","Thrakike","Skythia",13,"637,3","Unloc"
50,"Kallatis","Thrakike","Skythia",13,"637,4","BA 22 F5"
51,"Istros","Thrakike","Skythia",13,"637,5","BA 22 F4"
52,"Constantiana","Thrakike","Skythia",13,"637,6","TIR Romula 34"
53,"Zeldepa","Thrakike","Skythia",13,"637,7","BA 22 Zaldapa; Unloc"
54,"Tropaion","Thrakike","Skythia",13,"637,8","BA 22 E4"
55,"Axioupolis","Thrakike","Skythia",14,"637,9","BA 22 F4"
56,"Kapidaba","Thrakike","Skythia",14,"637,10","BA 22 F4"
57,"Karsos","Thrakike","Skythia",14,"637,11","BA 22 E4"
58,"Trosmis","Thrakike","Skythia",14,"637,12","BA 22 F3"
59,"Nobiodounon","Thrakike","Skythia",14,"637,13","BA 22 F3"
60,"Aigissos","Thrakike","Skythia",14,"637,14","BA 22 F3"
61,"Halmyris","Thrakike","Skythia",14,"637,15","BA 23 C3"
62,"Illyrikon","Illyrikon",,14,"638,1a","BA 102 C3"
63,"Makedonia I","Illyrikon","Makedonia I",14,"638,1b","BA 102 D3"
64,"Thessalonike","Illyrikon","Makedonia I",14,"638,2","BA 50 C3"
65,"Pelle","Illyrikon","Makedonia I",14,"638,3","BA 50 C3"
66,"Europos","Illyrikon","Makedonia I",14,"638,4","BA 50 C3"
67,"Dion","Illyrikon","Makedonia I",14,"638,5","BA 50 B4"
68,"Beroia","Illyrikon","Makedonia I",14,"638,6","BA 50 B3"
69,"Eordaia","Illyrikon","Makedonia I",14,"638,7","BA 50 A3"
70,"Edessa","Illyrikon","Makedonia I",14,"638,8","BA 50 B3"
71,"Kellai","Illyrikon","Makedonia I",14,"638,9","BA 22 C6 Cillis?"
72,"Almopia","Illyrikon","Makedonia I",14,"638,10","BA 50 A3"
73,"Larissa","Illyrikon","Makedonia I",14,"638,11","Papazoglou, Villes 159, 161, 440; Unloc"
74,"Herakleia Lynkou","Illyrikon","Makedonia I",14,"639,1","BA 49 D2"
75,"Antania","Illyrikon","Makedonia I",14,"639,2a","BA 49 Unloc"
76,"Gemindos","Illyrikon","Makedonia I",14,"639,2b","Papazoglou, Villes 326, 440; Unloc"
77,"Nikaia?","Illyrikon","Makedonia I",14,"639,3","BA 49 D2 Nicia"
78,"Doberos","Illyrikon","Makedonia I",14,"639,4","BA 50 C2"
79,"Idomene","Illyrikon","Makedonia I",14,"639,5","BA 50 B2"
80,"Bragylos","Illyrikon","Makedonia I",14,"639,6","BA 50 C2 Bragylai"
81,"Primana","Illyrikon","Makedonia I",14,"639,7","BA 49 Primoula; Unloc"
82,"Paroikopolis","Illyrikon","Makedonia I",14,"639,8","BA 50 D1"
83,"Herakleia Strymonos","Illyrikon","Makedonia I",15,"639,9","BA 50 D2"
84,"Serrai","Illyrikon","Makedonia I",15,"639,10","BA 51 B2 Sirra"
85,"Philippoi","Illyrikon","Makedonia I",15,"640,1","BA 51 C2"
86,"Amphipolis","Illyrikon","Makedonia I",15,"640,2","BA 51 B3"
87,"Apollonia","Illyrikon","Makedonia I",15,"640,3","BA 50 D3"
88,"Neapolis","Illyrikon","Makedonia I",15,"640,4","BA 51 C3"
89,"Akanthos","Illyrikon","Makedonia I",15,"640,5","BA 51 B4"
90,"Berge","Illyrikon","Makedonia I",15,"640,6","BA 51 B3"
91,"Aralos","Illyrikon","Makedonia I",15,"640,7","BA 50 D2 Ar(r)olos"
92,"Klima Mestikon","Illyrikon","Makedonia I",15,"640,8a","TIR Philippi 32; Unloc"
93,"Akontisma","Illyrikon","Makedonia I",15,"640,8b","BA 51 D3"
94,"Nesos Thasos","Illyrikon","Makedonia I",15,"640,9","BA 51 D3"
95,"Nesos Samothrake","Illyrikon","Makedonia I",15,"640,10","BA 51 F4"
96,"Makedonia II","Illyrikon","Makedonia II",15,"641,1","BA 102 D3"
97,"Stoboi","Illyrikon","Makedonia II",15,"641,2","BA 50 A1"
98,"Argos","Illyrikon","Makedonia II",15,"641,3","BA 50 A1"
99,"Aistraion","Illyrikon","Makedonia II",15,"641,4","BA 50 B1 Astraia?"
100,"Pelagonia","Illyrikon","Makedonia II",15,"641,5","BA 49 D2"
101,"Bargala","Illyrikon","Makedonia II",16,"641,6","BA 50 B1"
